Circuit: * C:\Users\vtolenti89\Documents\05_Electronics\02-Projects\NiMH_battery_charger\02-Simulation_Calculation\01_nimh_version_1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 2.4e-007 +++++++++++++++++++++++++++++++++++++++++++++++to 2.44e-007
Heightened Def Con from 3.89688e-007 +++++++++++++++++++++++++++++++++++++++++++++++to 3.93688e-007
Heightened Def Con from 3.9986e-007 ++++++++++++++++++++++++++++++++++to 4.00985e-007
Heightened Def Con from 4.73812e-005 ++++++++++++++++++++++++++++++++to 4.73882e-005
Heightened Def Con from 4.8539e-005 ++++++++++++++++++++++++++++++to 4.8542e-005
Heightened Def Con from 5.5451e-005 +++++++++++++++++++++++++++to 5.5451e-005
Heightened Def Con from 5.66339e-005 ++++++++++++++++++++++++++++++to 5.66369e-005
Heightened Def Con from 5.77427e-005 +++++++++++++++++++++++++++++++to 5.77477e-005
Heightened Def Con from 6.81269e-005 +++++++++++++++++++++++++++++++to 6.81319e-005
Heightened Def Con from 7.04734e-005 ++++++++++++++++++++++++++++++to 7.04764e-005
Heightened Def Con from 7.61966e-005 +to 7.61976e-005
Heightened Def Con from 7.73819e-005 ++++++++++++++++++++++++++++++to 7.73849e-005
Heightened Def Con from 7.85227e-005 +++++++++++++++++++++++++++++++to 7.85277e-005
Heightened Def Con from 8.31678e-005 ++++++++++++++++++++++++++++++to 8.31708e-005
Heightened Def Con from 8.42732e-005 +++++++++++++++++++++++++++++++to 8.42782e-005
Heightened Def Con from 8.53957e-005 ++++++++++++++++++++++++++++++++to 8.54027e-005
Heightened Def Con from 8.76774e-005 +++++++++++++++++++++++++++++++to 8.76824e-005
Heightened Def Con from 8.88059e-005 +++++++++++++++++++++++++++++++to 8.88109e-005
Heightened Def Con from 9.1133e-005 +++++++++++++++++++++++++++++++to 9.1138e-005
Heightened Def Con from 9.69697e-005 ++++++++++++++++++++++++++++++++to 9.69767e-005
Heightened Def Con from 9.80843e-005 +++++++++++++++++++++++++++++to 9.80873e-005
Heightened Def Con from 0.000101532 +to 0.000101533
Heightened Def Con from 0.000103835 +to 0.000103836
Heightened Def Con from 0.000108495 +++++++++++++++++++++++++to 0.000108495
Heightened Def Con from 0.000109668 ++++++++++++++++++++++++++++++++to 0.000109675
Heightened Def Con from 0.000113088 +++++++++++++++++++++++++++++++to 0.000113093
Heightened Def Con from 0.000116592 ++++++++++++++++++++++++++++++to 0.000116595
Heightened Def Con from 0.000118911 ++++++++++++++++++++++++++++++++to 0.000118918
Heightened Def Con from 0.000120032 ++++++++++++++++++++++++++to 0.000120032
Heightened Def Con from 0.000121159 +++++++++++++++++++++++++++++++to 0.000121164
Heightened Def Con from 0.000122275 +++++++++++++++++++++++++++++++to 0.00012228
Heightened Def Con from 0.000123415 +++++++++++++++++++++++++++++++to 0.00012342
Heightened Def Con from 0.000124562 ++++++++++++++++++++++++++++++++to 0.000124569
Heightened Def Con from 0.000125685 +++++++++++++++++++++++++++++++to 0.00012569
Heightened Def Con from 0.000127934 ++++++++++++++++++++++++++++++++to 0.000127941
Heightened Def Con from 0.000129076 +++++++++++++++++++++++++++++to 0.000129079
Heightened Def Con from 0.000131413 +++++++++++++++++++++++++++++++to 0.000131413
Heightened Def Con from 0.000133718 +++++++++++++++++++++++++++++++to 0.000133723
Heightened Def Con from 0.00013484 +++++++++++++++++++++++++++++++to 0.000134845
Heightened Def Con from 0.000137161 ++++++++++++++++++++++to 0.000137161
Heightened Def Con from 0.000145337 +++++++++++++++++++++++++++to 0.000145337
Heightened Def Con from 0.000146469 ++++++++++++++++++++++++++++++++to 0.000146476
Heightened Def Con from 0.000147619 +++++++++++++++++++++++++++++++to 0.000147627
Heightened Def Con from 0.000148713 ++++++++++++++++++++++++++++++++to 0.00014872
Heightened Def Con from 0.000149855 +++++++++++++++++++++++++++to 0.000149855
Heightened Def Con from 0.000152176 ++++++++++++++++++++++++++++++++to 0.000152183
Heightened Def Con from 0.000153296 +to 0.000153297
Heightened Def Con from 0.000154422 ++++++++++++++++++++++++++++++++to 0.000154429
Heightened Def Con from 0.000155518 +++++++++++++++++++++++++++++++++to 0.000155524
Heightened Def Con from 0.000157819 +++++++++++++++++++++++++++++++to 0.000157827
Heightened Def Con from 0.000163578 +++++++++++++++++++++++++++++++to 0.000163586
Heightened Def Con from 0.000164676 ++++++++++++++++++++++++++++++++to 0.000164683
Heightened Def Con from 0.000165812 ++++++++++++++++++++++++++to 0.000165812
Heightened Def Con from 0.000166946 +++++++++++++++++++++++++++to 0.000166946
Heightened Def Con from 0.000172668 +++++++++++++++++++++++++++++++to 0.000172673
Heightened Def Con from 0.000174922 ++++++++++++++++++++++++++++++to 0.000174922
Heightened Def Con from 0.00017839 ++++++++++++++++++++++++++++++++to 0.000178397
Heightened Def Con from 0.000179511 ++++++++++++++++++++++++++++++++to 0.000179518
Heightened Def Con from 0.000187637 +++++++++++++++++++++++++++++to 0.000187637
Heightened Def Con from 0.000192231 +++++++++++++++++++++++to 0.000192231
Heightened Def Con from 0.000193387 +++++++++++++++++++++++++++++to 0.000193387
Heightened Def Con from 0.000195693 +++++++++++++++++++++++++++++to 0.000195696
Heightened Def Con from 0.000197974 ++++++++++++++++++++++++++++++++to 0.000197981
Heightened Def Con from 0.000201429 +++++++++++++++++++++++++++++++to 0.000201434
Heightened Def Con from 0.000202578 +++++++++++++++++++++++++++++++to 0.000202586
Heightened Def Con from 0.000203702 ++++++++++++++++++++++++++++++to 0.000203705
Heightened Def Con from 0.000205963 +++++++++++++++++++++++++++++++to 0.000205968
Heightened Def Con from 0.00020708 ++++++++++++++++++++++++++++++++to 0.000207087
